电台名称,状态,HTTP状态码,原因,内容类型,URL
KUT,not_found,404,HTTP 404,,http://kut-hls.streamguys1.com/kut1/256/playlist.m3u8
CPR,timeout,,连接超时,,https://stream2.cprnetwork.org/2198_256.aac/playlist.m3u8
KWMU,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://kwmu-flash.streamguys1.com/live/smil:kwmu1.smil/live/kwmu1-256k.stream/playlist.m3u8
GPB,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://gpb-hls.streamguys1.com/itunes256/playlist.m3u8
WUWM,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://wuwm.streamguys1.com/live
NHPR,unreachable,,连接失败: [WinError 10061] 由于目标计算机积极拒绝，无法连接。,,http://205.234.238.46/nhpr-256-source.aac
WBHM,unreachable,,连接失败: timed out,,https://audio.wbhm.org/live.m4a
FOX News Radio,not_found,404,HTTP 404,,http://fnurtmp-f.akamaihd.net/i/FNRADIO_1@92141/index_300_av-b.m3u8
CNN International,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://tunein.ord.streamguys1.com/secure-CNNi
Al Jazeera,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://tunein.ord.streamguys1.com/secure-aljazeera-english
MSNBC,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://tunein.ord.streamguys1.com/secure-msnbc-premium
阿里郎电台(视频),reachable,200,m3u8 列表,application/x-mpegURL,https://amdlive-ch03-ctnd-com.akamaized.net/arirang_3ch/smil:arirang_3ch.smil/playlist.m3u8
阿里郎电台(音频),reachable,200,m3u8 列表,application/x-mpegURL,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_3ch/arirang_3ch_audio/playlist.m3u8
Today's Hits,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://rfcmedia.streamguys1.com/MusicPulsePremium.mp3
